Book|Chapter|Verse|Targum|Samaritan
1|3|2|מן אילן גנה ניכל|מפרי עץ הגן נאכל
1|3|3|ומפרי אילנה הדן דבגו גנה אמר אלהים לא תיכלון מנה ולא תקרבון בה דלא תמותון|ומפרי העץ הזה אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמותון
1|3|4|ואמר נחשה לאתתה לא מות תמותון|ויאמר הנחש אל האשה לא מות תמותון
1|3|5|הלא חכם אלהים הלא ביום מיכלכון מנה ויתנערן עיניבון ותהון כאלהים חכמי טב וביש|כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע
1|3|6|וחזת אתתה הלא טב אילנה למיכל והלא תחמדה הוא לחזבים ותחמדת אילנה לאנכלה ונסבת מפריו ואכלת ויהבת אף לגברה עמה ואכלו|ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכלו
1|3|7|ואתנערי עיני תריון וחכמו הלא ערטלאים אנון ופרדו טרפי תאנה ועבדו לון חלצים|ותפקחנה עיני שניהם וידעו כי ערמים הם ויתפארו עלי תאנה ויעשו להם חגרות
1|3|8|ושמעו ית קל יהוה אלהים מתהלך בגנה לרוח יומה ואטמר אדם ואתתה מקדם יהוה אלהים בגו אילן גנה|וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא אדם ואשתו מפני יהוה אלהים בתוך עץ הגן
1|3|9|וזעק יהוה אלהים לאדם ואמר לה איכה|ויקרא יהוה אלהים אל האדם ויאמר לו איכה
1|3|10|ואמר ית קלך שמעת בגנה ודחלת הלא ערטלאי אנה ואטמרת|ויאמר את קולך שמעתי בגן ואירא כי ערום אנכי ואחבא
1|3|11|ואמר מן הוי לך הלא ערטלאי אתה המן אילנה דפקדתך לדלא מיכל מנה אכלת|ויאמר מי הגיד לך כי ערום אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת
1|3|12|ואמר האדם אתתה דיהבת עמי היא יהבת לי מן אילנה ואכלת|ויאמר האדם האשה אשר נתתה עמדי היא נתנה לי מן העץ ואכל
1|3|13|השלתי ואכלת|ויאמר יהוה אלהים לאשה מה זאת עשיתי ותאמר האשה הנחש השיני ואכל
1|3|14|ואמר יהוה אלהים לנחשה כד עבדתה דה ארור אתה מכל בהמהתה ומכל חית ברה על מעיך תהלך ועפר תיכל כל יומי חייך|ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך
